Condition,WinRate,WinRate_CI_L,WinRate_CI_U,DmgDealt,DmgDealt_CI_L,DmgDealt_CI_U,DmgReceived,DmgReceived_CI_L,DmgReceived_CI_U
AGL_UI_adv,0.76,0.67,0.84,6096812.26448737,5930361.095538302,6273874.7195864655,66643.7087667162,62106.93916135035,71111.6818360674
AGL_UI_adv_LLM,0.71,0.62,0.8,5948645.571225071,5784096.080085378,6114900.128413156,74356.70655270656,69589.06658936077,78938.52037908093
AGL_UI_no_adv,0.54,0.44,0.64,5034413.65653897,4905315.749254127,5167452.314109687,85258.44253632761,80156.54638245149,90493.0366235193
AGL_UI_no_adv_LLM,0.43,0.33,0.53,4934665.921270718,4807919.202549509,5062957.329810231,98231.36740331491,92576.91354779252,104154.80527299986
Baseline1,0.27,0.18,0.36,4685206.220088626,4569411.736802262,4800476.247870565,92521.14327917281,86984.31154346115,98402.75596430548
Baseline2,0.34,0.25,0.43,4782440.913963329,4665175.436043851,4896667.002278261,80702.32016925247,76091.38637396193,85417.75953596333
Baseline3,0.31,0.22,0.4,4796337.520803443,4656637.93584292,4930746.682122974,83327.43472022956,78466.55213037836,88250.58483729833
INT_Vegeta_adv,0.75,0.67,0.83,5538425.768716577,5390952.962066497,5685382.670084372,73973.371657754,70067.09209890898,77917.80181878307
INT_Vegeta_adv_LLM,0.76,0.67,0.84,5565966.373154363,5422024.195910904,5713895.780531261,73423.68456375839,69664.36908860934,77249.31865695614
INT_Vegeta_no_adv,0.52,0.43,0.62,4723370.614012739,4607633.484641915,4841098.529135727,92689.60127388535,87117.45151515151,98262.85401380376
INT_Vegeta_no_adv_LLM,0.37,0.28,0.47,4737975.135359116,4611397.528727156,4862191.250871561,91011.24033149172,86121.89811900262,96123.23681867629
