SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team1WithIntUi_metrics,Baseline1,0,13255822.0,533212.0,3,2,0,0
team1WithIntUi_metrics_10,Baseline1,1,44372266.0,430490.0,8,2,1,0
team1WithIntUi_metrics_100,Baseline1,0,24843598.0,499453.0,6,2,0,0
team1WithIntUi_metrics_11,Baseline1,0,30058927.0,835508.0,7,2,1,0
team1WithIntUi_metrics_12,Baseline1,0,23292275.0,458491.0,5,2,0,0
team1WithIntUi_metrics_13,Baseline1,1,43931396.0,576252.0,10,2,1,0
team1WithIntUi_metrics_14,Baseline1,0,24933455.0,547694.0,6,2,0,0
team1WithIntUi_metrics_15,Baseline1,1,44728546.0,747410.0,10,2,1,0
team1WithIntUi_metrics_16,Baseline1,0,42122511.0,472620.0,7,2,0,0
team1WithIntUi_metrics_17,Baseline1,0,26397822.0,889474.0,6,2,1,0
team1WithIntUi_metrics_18,Baseline1,0,26209158.0,442406.0,6,2,0,0
team1WithIntUi_metrics_19,Baseline1,0,19741349.0,443736.0,5,2,0,0
team1WithIntUi_metrics_2,Baseline1,0,33550910.0,798473.0,7,2,1,0
team1WithIntUi_metrics_20,Baseline1,0,37537945.0,875726.0,8,2,1,0
team1WithIntUi_metrics_21,Baseline1,0,25074546.0,459023.0,6,2,0,0
team1WithIntUi_metrics_22,Baseline1,0,23437356.0,571283.0,5,2,0,0
team1WithIntUi_metrics_23,Baseline1,0,19208964.0,813306.0,5,2,1,0
team1WithIntUi_metrics_24,Baseline1,0,25110406.0,605329.0,6,2,0,0
team1WithIntUi_metrics_25,Baseline1,0,21927591.0,939472.0,5,2,0,0
team1WithIntUi_metrics_26,Baseline1,0,10656191.0,484079.0,3,2,0,0
team1WithIntUi_metrics_27,Baseline1,1,45617091.0,490252.0,8,2,1,0
team1WithIntUi_metrics_28,Baseline1,0,32309566.0,856641.0,7,2,1,0
team1WithIntUi_metrics_29,Baseline1,0,30461187.0,569023.0,6,2,0,0
team1WithIntUi_metrics_3,Baseline1,1,45955807.0,556744.0,9,2,1,0
team1WithIntUi_metrics_30,Baseline1,0,38553362.0,816675.0,6,2,1,0
team1WithIntUi_metrics_31,Baseline1,0,31837624.0,785182.0,9,2,1,0
team1WithIntUi_metrics_32,Baseline1,0,34928541.0,443721.0,6,2,0,0
team1WithIntUi_metrics_33,Baseline1,0,29319375.0,884207.0,6,2,1,0
team1WithIntUi_metrics_34,Baseline1,0,27619826.0,919723.0,6,2,1,0
team1WithIntUi_metrics_35,Baseline1,1,43877168.0,715734.0,8,2,1,0
team1WithIntUi_metrics_36,Baseline1,0,36851237.0,479577.0,8,2,0,0
team1WithIntUi_metrics_37,Baseline1,0,33344402.0,446975.0,7,2,0,0
team1WithIntUi_metrics_38,Baseline1,0,18252975.0,805083.0,5,2,0,0
team1WithIntUi_metrics_39,Baseline1,0,22110727.0,443123.0,5,2,0,0
team1WithIntUi_metrics_4,Baseline1,0,23057298.0,829654.0,5,2,0,0
team1WithIntUi_metrics_40,Baseline1,0,32657808.0,540462.0,7,2,0,0
team1WithIntUi_metrics_41,Baseline1,1,45736144.0,544209.0,9,2,1,0
team1WithIntUi_metrics_42,Baseline1,0,23078413.0,482452.0,5,2,0,0
team1WithIntUi_metrics_43,Baseline1,0,21995942.0,552470.0,5,2,0,0
team1WithIntUi_metrics_44,Baseline1,1,43866558.0,725143.0,9,2,1,0
team1WithIntUi_metrics_45,Baseline1,0,33105475.0,821414.0,8,2,1,0
team1WithIntUi_metrics_46,Baseline1,1,44470798.0,453844.0,9,2,1,0
team1WithIntUi_metrics_47,Baseline1,0,31270190.0,539474.0,8,2,0,0
team1WithIntUi_metrics_48,Baseline1,0,32622654.0,923803.0,7,2,1,0
team1WithIntUi_metrics_49,Baseline1,0,32239278.0,493270.0,6,2,0,0
team1WithIntUi_metrics_5,Baseline1,1,43930087.0,730124.0,8,2,1,0
team1WithIntUi_metrics_50,Baseline1,0,29624640.0,454569.0,6,2,0,0
team1WithIntUi_metrics_51,Baseline1,1,43806612.0,603836.0,9,2,1,0
