SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team1WithIntUi_metrics,Baseline1,0,0.0,0.0,3,2,0,0
team1WithIntUi_metrics_10,Baseline1,1,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_100,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_11,Baseline1,0,0.0,0.0,7,2,1,0
team1WithIntUi_metrics_12,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_13,Baseline1,1,0.0,0.0,10,2,1,0
team1WithIntUi_metrics_14,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_15,Baseline1,1,0.0,0.0,10,2,1,0
team1WithIntUi_metrics_16,Baseline1,0,0.0,0.0,7,2,0,0
team1WithIntUi_metrics_17,Baseline1,0,0.0,0.0,6,2,1,0
team1WithIntUi_metrics_18,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_19,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_2,Baseline1,0,0.0,0.0,7,2,1,0
team1WithIntUi_metrics_20,Baseline1,0,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_21,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_22,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_23,Baseline1,0,0.0,0.0,5,2,1,0
team1WithIntUi_metrics_24,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_25,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_26,Baseline1,0,0.0,0.0,3,2,0,0
team1WithIntUi_metrics_27,Baseline1,1,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_28,Baseline1,0,0.0,0.0,7,2,1,0
team1WithIntUi_metrics_29,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_3,Baseline1,1,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_30,Baseline1,0,0.0,0.0,6,2,1,0
team1WithIntUi_metrics_31,Baseline1,0,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_32,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_33,Baseline1,0,0.0,0.0,6,2,1,0
team1WithIntUi_metrics_34,Baseline1,0,0.0,0.0,6,2,1,0
team1WithIntUi_metrics_35,Baseline1,1,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_36,Baseline1,0,0.0,0.0,8,2,0,0
team1WithIntUi_metrics_37,Baseline1,0,0.0,0.0,7,2,0,0
