RNG Seed: 61
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,3,0,454204 (100%),3312,43496688 (100%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,16471,437733 (96%),1325672,42171016 (97%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117751,319982 (70%),1248149,40922867 (94%)
2,12031,Goku (Ultra Instinct),2,28695,291287 (64%),791610,40131257 (92%)
2,12009,Gohan (Teen),3,150,291137 (64%),1368093,38763164 (89%)
2,12114,Super Saiyan 2 Gohan (Youth),3,238,290899 (64%),1570671,37192493 (85%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,6,0,290899 (64%),20864,37171629 (85%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,164,290735 (64%),2552353,34619276 (80%)
3,11751,Gohan (Kid),0,0,290735 (64%),684298,33934978 (78%)
4,12031,Goku (Ultra Instinct),1,299335,0 (0%),1204862,32730116 (75%)
4,12009,Gohan (Teen),0,0,0 (0%),0,32730116 (75%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,0 (0%),0,32730116 (75%)
Result:,Team defeated

Average damage received per turn:,115701.00
Average damage dealt per turn:,2692471.00
