RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,429450 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,312009 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,293678 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,293678 (65%),146342,39103155 (90%)
2,12031,Goku (Ultra Instinct),3,110,293568 (65%),256257,38846898 (89%)
2,12009,Gohan (Teen),1,107,293461 (65%),1369495,37477403 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,293461 (65%),767107,36710296 (84%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86,293375 (65%),1935969,34774327 (80%)
3,12114,Super Saiyan 2 Gohan (Youth),3,174,293201 (65%),1380620,33393707 (77%)
4,11971,Caulifla,7,0,293201 (65%),19847,33373860 (77%)
4,12031,Goku (Ultra Instinct),0,0,293201 (65%),1381294,31992566 (74%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,65,293136 (65%),1956683,30035883 (69%)
5,11751,Gohan (Kid),4,123379,169757 (37%),805289,29230594 (67%)
5,12009,Gohan (Teen),1,72,169685 (37%),1558889,27671705 (64%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,28094,141591 (31%),3031513,24640192 (57%)
6,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,3,0,141591 (31%),168051,24472141 (56%)
6,12031,Goku (Ultra Instinct),4,17563,124028 (27%),5991284,18480857 (42%)
6,12114,Super Saiyan 2 Gohan (Youth),1,18580,105448 (23%),2536447,15944410 (37%)
7,11751,Gohan (Kid),heal,heal,454204 (100%),heal,heal
7,11751,Gohan (Kid),5,60904,393300 (87%),1801219,14143191 (33%)
7,12009,Gohan (Teen),1,98,393202 (87%),1700669,12442522 (29%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,16400,376802 (83%),3042099,9400423 (22%)
8,11971,Caulifla,4,0,376802 (83%),25512,9374911 (22%)
8,12031,Goku (Ultra Instinct),3,19641,357161 (79%),5713551,3661360 (8%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,357161 (79%),4204779,0 (0%)
Result:,Boss defeated

Average damage received per turn:,12130.38
Average damage dealt per turn:,5505427.38
