RNG Seed: 139
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,22484,431720 (95%),773874,42726126 (98%)
1,12009,Gohan (Teen),5,313,431407 (95%),1426932,41299194 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,431407 (95%),2310677,38988517 (90%)
2,12031,Goku (Ultra Instinct),4,304,431103 (95%),3397400,35591117 (82%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,101262,329841 (73%),3139976,32451141 (75%)
2,12114,Super Saiyan 2 Gohan (Youth),3,259,329582 (73%),1228765,31222376 (72%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,7,0,329582 (73%),15355,31207021 (72%)
3,12009,Gohan (Teen),0,0,329582 (73%),1560773,29646248 (68%)
3,11751,Gohan (Kid),1,129531,200051 (44%),704096,28942152 (67%)
4,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,12031,Goku (Ultra Instinct),7,246,199805 (44%),6414574,22527578 (52%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,199805 (44%),8084622,14442956 (33%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,82,199723 (44%),8185999,6256957 (14%)
5,11971,Caulifla,3,0,199723 (44%),148491,6108466 (14%)
5,12009,Gohan (Teen),2,228,199495 (44%),1709629,4398837 (10%)
5,12114,Super Saiyan 2 Gohan (Youth),0,0,199495 (44%),4527336,0 (0%)
Result:,Boss defeated

Average damage received per turn:,50941.80
Average damage dealt per turn:,8725699.80
