RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,435742 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,318301 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,299970 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,299970 (65%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,299750 (65%),115330,38969011 (90%)
2,12009,Gohan (Teen),1,122,299628 (65%),1342468,37626543 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,299628 (65%),767107,36859436 (85%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86,299542 (65%),1935969,34923467 (80%)
3,12114,Super Saiyan 2 Gohan (Youth),3,174,299368 (65%),1380620,33542847 (77%)
4,11971,Caulifla,7,0,299368 (65%),22956,33519891 (77%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,299368 (65%),121513,33398378 (77%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,65,299303 (65%),3149741,30248637 (70%)
5,11751,Gohan (Kid),1,0,299303 (65%),803052,29445585 (68%)
5,12009,Gohan (Teen),2,170,299133 (65%),1580889,27864696 (64%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),5,225043,74090 (16%),2971617,24893079 (57%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,74090 (16%),23188,24869891 (57%)
6,12034,Super Saiyan God SS Evolved Vegeta,1,322890,0 (0%),124997,24744894 (57%)
6,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,24744894 (57%)
Result:,Team defeated

Average damage received per turn:,118216.00
Average damage dealt per turn:,3125851.00
