RNG Seed: 102
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),4,24525,435971 (95%),749661,42750339 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,183,435788 (95%),1803811,40946528 (94%)
1,12114,Super Saiyan 2 Gohan (Youth),2,109,435679 (95%),3301813,37644715 (87%)
2,11971,Caulifla,2,0,435679 (95%),156262,37488453 (86%)
2,12009,Gohan (Teen),2,178,435501 (95%),1432950,36055503 (83%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,104162,331339 (72%),2919795,33135708 (76%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),5,24137,307202 (67%),132338,33003370 (76%)
3,12034,Super Saiyan God SS Evolved Vegeta,1,90,307112 (67%),1854138,31149232 (72%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,124,306988 (67%),4499884,26649348 (61%)
4,11971,Caulifla,3,0,306988 (67%),165513,26483835 (61%)
4,12009,Gohan (Teen),1,131,306857 (67%),1588592,24895243 (57%)
4,12114,Super Saiyan 2 Gohan (Youth),4,301,306556 (67%),1144072,23751171 (55%)
5,11751,Gohan (Kid),7,189663,116893 (25%),774009,22977162 (53%)
5,12034,Super Saiyan God SS Evolved Vegeta,0,0,116893 (25%),1986959,20990203 (48%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,35569,81324 (18%),2933599,18056604 (42%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,5,0,81324 (18%),25579,18031025 (41%)
6,12009,Gohan (Teen),3,16747,64577 (14%),1720776,16310249 (37%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,64577 (14%),7856018,8454231 (19%)
7,11751,Gohan (Kid),heal,heal,460496 (100%),heal,heal
7,11751,Gohan (Kid),4,126879,333617 (72%),1761680,6692551 (15%)
7,12034,Super Saiyan God SS Evolved Vegeta,1,13,333604 (72%),5366722,1325829 (3%)
7,12114,Super Saiyan 2 Gohan (Youth),0,0,333604 (72%),1879403,0 (0%)
Result:,Boss defeated

Average damage received per turn:,18127.43
Average damage dealt per turn:,6293367.71
