RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,415770 (94%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,298329 (68%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,279998 (64%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,279998 (64%),143835,39105662 (90%)
2,12009,Gohan (Teen),3,131,279867 (64%),1430559,37675103 (87%)
2,12114,Super Saiyan 2 Gohan (Youth),1,100,279767 (64%),2840259,34834844 (80%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),3,47042,232725 (53%),765431,34069413 (78%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,108,232617 (53%),2814952,31254461 (72%)
3,11354,Goku (Ultra Instinct -Sign-),3,325225,0 (0%),1010283,30244178 (70%)
Result:,Team defeated

Average damage received per turn:,177710.67
Average damage dealt per turn:,4418607.33
