RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,413416 (94%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,295975 (68%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,277644 (63%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,277644 (63%),143835,39105662 (90%)
2,12009,Gohan (Teen),3,131,277513 (63%),1430559,37675103 (87%)
2,12114,Super Saiyan 2 Gohan (Youth),1,100,277413 (63%),2840259,34834844 (80%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),3,43509,233904 (53%),797432,34037412 (78%)
3,11029,Masked Saiyan,2,74,233830 (53%),1797285,32240127 (74%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,101871,131959 (30%),2450280,29789847 (68%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,6,0,131959 (30%),24204,29765643 (68%)
4,12009,Gohan (Teen),0,0,131959 (30%),184551,29581092 (68%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,159,131800 (30%),5729031,23852061 (55%)
5,11751,Gohan (Kid),1,241953,0 (0%),0,23852061 (55%)
5,11029,Masked Saiyan,0,0,0 (0%),0,23852061 (55%)
5,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,23852061 (55%)
Result:,Team defeated

Average damage received per turn:,109664.60
Average damage dealt per turn:,3929587.80
