RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,408026 (94%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,290585 (67%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,272254 (63%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,272254 (63%),143835,39105662 (90%)
2,12009,Gohan (Teen),3,131,272123 (63%),1430559,37675103 (87%)
2,12114,Super Saiyan 2 Gohan (Youth),1,100,272023 (63%),2840259,34834844 (80%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),3,47042,224981 (52%),765431,34069413 (78%)
3,11879,Super Saiyan God SS Vegeta,2,74,224907 (52%),2205022,31864391 (73%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,101871,123036 (28%),2754886,29109505 (67%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,6,0,123036 (28%),23167,29086338 (67%)
4,12009,Gohan (Teen),0,0,123036 (28%),183515,28902823 (66%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,159,122877 (28%),5725921,23176902 (53%)
5,11751,Gohan (Kid),heal,heal,432780 (100%),heal,heal
5,11751,Gohan (Kid),4,306307,126473 (29%),1753425,21423477 (49%)
5,11879,Super Saiyan God SS Vegeta,1,97,126376 (29%),2190042,19233435 (44%)
5,12114,Super Saiyan 2 Gohan (Youth),3,54792,71584 (17%),2580000,16653435 (38%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,71584 (17%),168552,16484883 (38%)
6,12009,Gohan (Teen),2,152,71432 (17%),1570237,14914646 (34%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,718,70714 (16%),7893993,7020653 (16%)
7,11751,Gohan (Kid),5,62671,8043 (2%),768204,6252449 (14%)
7,11879,Super Saiyan God SS Vegeta,1,227438,0 (0%),99512,6152937 (14%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),0,6152937 (14%)
Result:,Team defeated

Average damage received per turn:,93167.86
Average damage dealt per turn:,5335294.71
