RNG Seed: 112
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),2,0,432780 (100%),747446,42752554 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,152,432628 (100%),2554948,40197606 (92%)
1,12114,Super Saiyan 2 Gohan (Youth),4,57253,375375 (87%),4641321,35556285 (82%)
2,11971,Caulifla,5,0,375375 (87%),24080,35532205 (82%)
2,12009,Gohan (Teen),1,82,375293 (87%),1425811,34106394 (78%)
2,11879,Super Saiyan God SS Vegeta,2,79901,295392 (68%),1217464,32888930 (76%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),3,23794,271598 (63%),777864,32111066 (74%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,236,271362 (63%),1787718,30323348 (70%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18509,252853 (58%),1435808,28887540 (66%)
4,11971,Caulifla,4,0,252853 (58%),23990,28863550 (66%)
4,12009,Gohan (Teen),3,135,252718 (58%),1576922,27286628 (63%)
4,12114,Super Saiyan 2 Gohan (Youth),1,63,252655 (58%),3293278,23993350 (55%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),4,64270,188385 (44%),132589,23860761 (55%)
5,11879,Super Saiyan God SS Vegeta,3,104602,83783 (19%),2217251,21643510 (50%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,17267,66516 (15%),7711873,13931637 (32%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,5,0,66516 (15%),25995,13905642 (32%)
6,12009,Gohan (Teen),2,175,66341 (15%),1689171,12216471 (28%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,195605,0 (0%),4390074,7826397 (18%)
Result:,Team defeated

Average damage received per turn:,93674.00
Average damage dealt per turn:,5945600.50
