RNG Seed: 89
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,4,0,454204 (100%),4556,43495444 (100%)
1,12009,Gohan (Teen),3,160,454044 (100%),1388546,42106898 (97%)
1,12114,Super Saiyan 2 Gohan (Youth),1,71,453973 (100%),1960714,40146184 (92%)
2,12031,Goku (Ultra Instinct),2,26945,427028 (94%),1850798,38295386 (88%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),4,128487,298541 (66%),1643435,36651951 (84%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,11545,286996 (63%),1586745,35065206 (81%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,6,0,286996 (63%),153563,34911643 (80%)
3,12009,Gohan (Teen),1,119,286877 (63%),1563752,33347891 (77%)
3,11751,Gohan (Kid),1,0,286877 (63%),713472,32634419 (75%)
4,12031,Goku (Ultra Instinct),4,60,286817 (63%),1474716,31159703 (72%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,58,286759 (63%),3091148,28068555 (65%)
4,12114,Super Saiyan 2 Gohan (Youth),3,263,286496 (63%),1503795,26564760 (61%)
5,11971,Caulifla,5,0,286496 (63%),24797,26539963 (61%)
5,12009,Gohan (Teen),2,175,286321 (63%),1701742,24838221 (57%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,23052,263269 (58%),1784442,23053779 (53%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11751,Gohan (Kid),5,0,263269 (58%),131150,22922629 (53%)
6,12031,Goku (Ultra Instinct),1,0,263269 (58%),5413309,17509320 (40%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,33364,229905 (51%),9553634,7955686 (18%)
7,11971,Caulifla,5,0,229905 (51%),165487,7790199 (18%)
7,12009,Gohan (Teen),0,0,229905 (51%),1831062,5959137 (14%)
7,12114,Super Saiyan 2 Gohan (Youth),3,81553,148352 (33%),1067436,4891701 (11%)
8,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
8,11751,Gohan (Kid),1,0,148352 (33%),779415,4112286 (9%)
8,12031,Goku (Ultra Instinct),0,0,148352 (33%),1362354,2749932 (6%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,148352 (33%),3277550,0 (0%)
Result:,Boss defeated

Average damage received per turn:,38231.50
Average damage dealt per turn:,5503452.25
