RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,429450 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,312009 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,293678 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,293678 (65%),146342,39103155 (90%)
2,12031,Goku (Ultra Instinct),3,0,293678 (65%),256257,38846898 (89%)
2,12009,Gohan (Teen),1,114,293564 (65%),1361218,37485680 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),4,179086,114478 (25%),761603,36724077 (84%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,239,114239 (25%),5022782,31701295 (73%)
3,12114,Super Saiyan 2 Gohan (Youth),2,135,114104 (25%),2205387,29495908 (68%)
4,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,4,0,114104 (25%),23735,29472173 (68%)
4,12031,Goku (Ultra Instinct),2,0,114104 (25%),6564557,22907616 (53%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,226,113878 (25%),5843582,17064034 (39%)
5,11751,Gohan (Kid),heal,heal,454204 (100%),heal,heal
5,11751,Gohan (Kid),5,124894,329310 (73%),1793105,15270929 (35%)
5,12009,Gohan (Teen),0,0,329310 (73%),1575525,13695404 (31%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,30766,298544 (66%),1887274,11808130 (27%)
6,11971,Caulifla,4,0,298544 (66%),23943,11784187 (27%)
6,12031,Goku (Ultra Instinct),3,32892,265652 (58%),2731441,9052746 (21%)
6,12114,Super Saiyan 2 Gohan (Youth),1,39638,226014 (50%),1153777,7898969 (18%)
7,11751,Gohan (Kid),3,61696,164318 (36%),812792,7086177 (16%)
7,12009,Gohan (Teen),0,0,164318 (36%),1693269,5392908 (12%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),5,11011,153307 (34%),3200272,2192636 (5%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
8,11971,Caulifla,0,0,153307 (34%),0,2192636 (5%)
8,12031,Goku (Ultra Instinct),0,0,153307 (34%),0,2192636 (5%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,153307 (34%),3711660,0 (0%)
Result:,Boss defeated

Average damage received per turn:,37612.12
Average damage dealt per turn:,5627378.00
