RNG Seed: 112
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),2,0,454204 (100%),747446,42752554 (98%)
1,12031,Goku (Ultra Instinct),2,17,454187 (100%),7369793,35382761 (81%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,133149,321038 (71%),1732990,33649771 (77%)
2,11971,Caulifla,5,0,321038 (71%),4203,33645568 (77%)
2,12009,Gohan (Teen),1,27714,293324 (65%),1385109,32260459 (74%)
2,12114,Super Saiyan 2 Gohan (Youth),2,143,293181 (65%),713377,31547082 (73%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,21583,271598 (60%),123404,31423678 (72%)
3,12031,Goku (Ultra Instinct),3,0,271598 (60%),5183730,26239948 (60%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,123411,148187 (33%),2245727,23994221 (55%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,4,0,148187 (33%),15137,23979084 (55%)
4,12009,Gohan (Teen),3,267,147920 (33%),1578221,22400863 (51%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,33,147887 (33%),5880365,16520498 (38%)
5,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),4,187839,0 (0%),773058,15747440 (36%)
5,12031,Goku (Ultra Instinct),0,0,0 (0%),0,15747440 (36%)
5,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,15747440 (36%)
5,12031,Goku (Ultra Instinct),revive,revive,317943 (70%),revive,revive
6,11971,Caulifla,5,0,317943 (70%),148720,15598720 (36%)
6,12009,Gohan (Teen),0,0,317943 (70%),1728676,13870044 (32%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,66941,251002 (55%),4006875,9863169 (23%)
7,11751,Gohan (Kid),4,61010,189992 (42%),777024,9086145 (21%)
7,12031,Goku (Ultra Instinct),3,122,189870 (42%),7573111,1513034 (3%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,189870 (42%),3248866,0 (0%)
Result:,Boss defeated

Average damage received per turn:,37762.00
Average damage dealt per turn:,6462261.71
