RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12031,Goku (Ultra Instinct),3,16193,461256 (97%),2396606,41103394 (94%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,118041,343215 (72%),2863144,38240250 (88%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18747,324468 (68%),2586616,35653634 (82%)
2,11971,Caulifla,4,0,324468 (68%),142296,35511338 (82%)
2,12009,Gohan (Teen),3,282,324186 (68%),1400200,34111138 (78%)
2,12114,Super Saiyan 2 Gohan (Youth),1,128,324058 (68%),967007,33144131 (76%)
3,Item,used,for,40,percent,damage,reduction
3,12031,Goku (Ultra Instinct),4,292,323766 (68%),1143263,32000868 (74%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,102413,221353 (46%),4878225,27122643 (62%)
3,11354,Goku (Ultra Instinct -Sign-),3,33640,187713 (39%),1005596,26117047 (60%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,5,0,187713 (39%),19891,26097156 (60%)
4,12009,Gohan (Teen),0,0,187713 (39%),1554291,24542865 (56%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,256,187457 (39%),3488195,21054670 (48%)
5,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,12031,Goku (Ultra Instinct),6,0,187457 (39%),1527723,19526947 (45%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,187457 (39%),6303263,13223684 (30%)
5,12114,Super Saiyan 2 Gohan (Youth),2,50897,136560 (29%),1484298,11739386 (27%)
6,11971,Caulifla,5,0,136560 (29%),167935,11571451 (27%)
6,41355,Goku (Ultra Instinct) int,1,0,136560 (29%),122059,11449392 (26%)
6,12009,Gohan (Teen),2,179,136381 (29%),1647316,9802076 (23%)
7,12031,Goku (Ultra Instinct),5,0,136381 (29%),1226253,8575823 (20%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,12062,124319 (26%),6522557,2053266 (5%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,124319 (26%),2063572,0 (0%)
Result:,Boss defeated

Average damage received per turn:,50447.14
Average damage dealt per turn:,6215758.00
