RNG Seed: 115
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,128317,314500 (71%),742893,42757107 (98%)
1,12031,Goku (Ultra Instinct),5,8267,306233 (69%),89040,42668067 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,306233 (69%),2769050,39899017 (92%)
2,12009,Gohan (Teen),2,228,306005 (69%),1353209,38545808 (89%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,209,305796 (69%),2480886,36064922 (83%)
2,11354,Goku (Ultra Instinct -Sign-),1,338961,0 (0%),77103,35987819 (83%)
Result:,Team defeated

Average damage received per turn:,237991.00
Average damage dealt per turn:,3756090.50
