RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,426076 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,308635 (68%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,290304 (64%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,290304 (64%),146342,39103155 (90%)
2,12031,Goku (Ultra Instinct),3,0,290304 (64%),111402,38991753 (90%)
2,12114,Super Saiyan 2 Gohan (Youth),1,11,290293 (64%),6075036,32916717 (76%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,290293 (64%),811274,32105443 (74%)
3,11029,Masked Saiyan,3,21256,269037 (60%),203780,31901663 (73%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,189,268848 (60%),1623192,30278471 (70%)
4,11971,Caulifla,6,0,268848 (60%),168220,30110251 (69%)
4,12031,Goku (Ultra Instinct),0,0,268848 (60%),2399833,27710418 (64%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,159,268689 (60%),4556293,23154125 (53%)
5,11751,Gohan (Kid),4,123379,145310 (32%),810991,22343134 (51%)
5,11029,Masked Saiyan,1,25529,119781 (27%),1993114,20350020 (47%)
5,12114,Super Saiyan 2 Gohan (Youth),3,157,119624 (27%),4484867,15865153 (36%)
6,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,119624 (27%),182043,15683110 (36%)
6,12031,Goku (Ultra Instinct),3,0,119624 (27%),3823270,11859840 (27%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,16043,103581 (23%),7281231,4578609 (11%)
7,11751,Gohan (Kid),heal,heal,450830 (100%),heal,heal
7,11751,Gohan (Kid),4,0,450830 (100%),381338,4197271 (10%)
7,11029,Masked Saiyan,1,9996,440834 (98%),1842211,2355060 (5%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,440834 (98%),2540244,0 (0%)
Result:,Boss defeated

Average damage received per turn:,1428.00
Average damage dealt per turn:,6240740.57
