RNG Seed: 87
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,4,0,450830 (100%),138189,43361811 (100%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,330,450500 (100%),2672723,40689088 (94%)
1,12114,Super Saiyan 2 Gohan (Youth),0,0,450500 (100%),2547756,38141332 (88%)
2,11751,Gohan (Kid),5,43719,406781 (90%),766995,37374337 (86%)
2,12031,Goku (Ultra Instinct),2,0,406781 (90%),1021977,36352360 (84%)
2,11029,Masked Saiyan,1,95,406686 (90%),1789244,34563116 (79%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,7,0,406686 (90%),23448,34539668 (79%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,103,406583 (90%),3029619,31510049 (72%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,406583 (90%),2338644,29171405 (67%)
4,11751,Gohan (Kid),4,154880,251703 (56%),766398,28405007 (65%)
4,12031,Goku (Ultra Instinct),2,0,251703 (56%),1205802,27199205 (63%)
4,12114,Super Saiyan 2 Gohan (Youth),2,34582,217121 (48%),136376,27062829 (62%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11971,Caulifla,6,0,217121 (48%),26583,27036246 (62%)
5,11029,Masked Saiyan,1,28463,188658 (42%),219614,26816632 (62%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,16247,172411 (38%),5250314,21566318 (50%)
6,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11751,Gohan (Kid),4,61864,110547 (25%),781568,20784750 (48%)
6,12031,Goku (Ultra Instinct),1,0,110547 (25%),5383102,15401648 (35%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,210733,0 (0%),6201174,9200474 (21%)
Result:,Team defeated

Average damage received per turn:,91836.00
Average damage dealt per turn:,5716587.67
