RNG Seed: 139
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,22484,417979 (95%),773874,42726126 (98%)
1,12009,Gohan (Teen),5,313,417666 (95%),1426932,41299194 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,417666 (95%),2310677,38988517 (90%)
2,12031,Goku (Ultra Instinct),4,27044,390622 (89%),1288364,37700153 (87%)
2,11029,Masked Saiyan,1,86830,303792 (69%),1764863,35935290 (83%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,17595,286197 (65%),884597,35050693 (81%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,6,0,286197 (65%),13389,35037304 (81%)
3,12009,Gohan (Teen),0,0,286197 (65%),1552696,33484608 (77%)
3,11751,Gohan (Kid),2,45394,240803 (55%),696359,32788249 (75%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,12031,Goku (Ultra Instinct),1,296702,0 (0%),1528636,31259613 (72%)
4,11029,Masked Saiyan,0,0,0 (0%),0,31259613 (72%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),2295473,28964140 (67%)
Result:,Team defeated

Average damage received per turn:,124090.50
Average damage dealt per turn:,3633965.00
