RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12031,Goku (Ultra Instinct),3,16193,453512 (97%),2396606,41103394 (94%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,118041,335471 (71%),2863144,38240250 (88%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18747,316724 (67%),2586616,35653634 (82%)
2,11971,Caulifla,4,0,316724 (67%),142296,35511338 (82%)
2,12009,Gohan (Teen),3,282,316442 (67%),1400200,34111138 (78%)
2,12114,Super Saiyan 2 Gohan (Youth),1,128,316314 (67%),967007,33144131 (76%)
3,Item,used,for,40,percent,damage,reduction
3,12031,Goku (Ultra Instinct),4,292,316022 (67%),985574,32158557 (74%)
3,11879,Super Saiyan God SS Vegeta,1,78,315944 (67%),2585546,29573011 (68%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,102,315842 (67%),1995465,27577546 (63%)
4,11971,Caulifla,5,0,315842 (67%),19452,27558094 (63%)
4,12009,Gohan (Teen),0,0,315842 (67%),1542861,26015233 (60%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,88643,227199 (48%),2843095,23172138 (53%)
5,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,12031,Goku (Ultra Instinct),5,40329,186870 (40%),1643675,21528463 (49%)
5,11879,Super Saiyan God SS Vegeta,0,0,186870 (40%),1854986,19673477 (45%)
5,12114,Super Saiyan 2 Gohan (Youth),3,166330,20540 (4%),154285,19519192 (45%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,20540 (4%),164975,19354217 (44%)
6,12009,Gohan (Teen),2,152,20388 (4%),1708151,17646066 (41%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,718,19670 (4%),7880877,9765189 (22%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,12031,Goku (Ultra Instinct),5,0,19670 (4%),4253384,5511805 (13%)
7,11879,Super Saiyan God SS Vegeta,1,45788,0 (0%),98953,5412852 (12%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),2974848,2438004 (6%)
7,12031,Goku (Ultra Instinct),revive,revive,328794 (70%),revive,revive
8,11971,Caulifla,6,0,328794 (70%),177881,2260123 (5%)
8,12009,Gohan (Teen),1,90,328704 (70%),1840145,419978 (1%)
8,12114,Super Saiyan 2 Gohan (Youth),0,0,328704 (70%),2486392,0 (0%)
Result:,Boss defeated

Average damage received per turn:,17625.12
Average damage dealt per turn:,5695801.75
