RNG Seed: 95
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12031,Goku (Ultra Instinct),6,0,469705 (100%),1455551,42044449 (97%)
1,11879,Super Saiyan God SS Vegeta,1,76,469629 (100%),1698623,40345826 (93%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,5279,464350 (99%),306766,40039060 (92%)
2,11971,Caulifla,6,0,464350 (99%),3666,40035394 (92%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,464350 (99%),2382176,37653218 (87%)
2,12114,Super Saiyan 2 Gohan (Youth),2,66,464284 (99%),2496507,35156711 (81%)
3,Item,used,for,40,percent,damage,reduction
3,12031,Goku (Ultra Instinct),1,0,464284 (99%),2558403,32598308 (75%)
3,12009,Gohan (Teen),2,47270,417014 (89%),1371473,31226835 (72%)
3,11879,Super Saiyan God SS Vegeta,5,322,416692 (89%),1072184,30154651 (69%)
4,11971,Caulifla,3,0,416692 (89%),19940,30134711 (69%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,238,416454 (89%),366392,29768319 (68%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,179,416275 (89%),2778350,26989969 (62%)
5,12031,Goku (Ultra Instinct),3,46707,369568 (79%),2787074,24202895 (56%)
5,12009,Gohan (Teen),2,103,369465 (79%),1486193,22716702 (52%)
5,12114,Super Saiyan 2 Gohan (Youth),3,12289,357176 (76%),2225504,20491198 (47%)
6,11971,Caulifla,6,0,357176 (76%),27375,20463823 (47%)
6,11879,Super Saiyan God SS Vegeta,1,172459,184717 (39%),1331875,19131948 (44%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,23849,160868 (34%),3387304,15744644 (36%)
7,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,12031,Goku (Ultra Instinct),5,45108,115760 (25%),4155355,11589289 (27%)
7,12009,Gohan (Teen),1,14,115746 (25%),1627331,9961958 (23%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,69,115677 (25%),4198910,5763048 (13%)
8,11971,Caulifla,4,0,115677 (25%),27450,5735598 (13%)
8,11879,Super Saiyan God SS Vegeta,2,195,115482 (25%),1904502,3831096 (9%)
8,12114,Super Saiyan 2 Gohan (Youth),0,0,115482 (25%),4812443,0 (0%)
Result:,Boss defeated

Average damage received per turn:,44277.88
Average damage dealt per turn:,5560168.38
