RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,410319 (94%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,292878 (67%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,274547 (63%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,274547 (63%),146342,39103155 (90%)
2,12031,Goku (Ultra Instinct),3,0,274547 (63%),106692,38996463 (90%)
2,12009,Gohan (Teen),1,114,274433 (63%),1361218,37635245 (87%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),4,179086,95347 (22%),761603,36873642 (85%)
3,11879,Super Saiyan God SS Vegeta,2,137,95210 (22%),2156417,34717225 (80%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,79,95131 (22%),3350925,31366300 (72%)
4,12031,Goku (Ultra Instinct),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,4,0,95131 (22%),13367,31352933 (72%)
4,12031,Goku (Ultra Instinct),2,0,95131 (22%),2917581,28435352 (65%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,226,94905 (22%),5812478,22622874 (52%)
5,11751,Gohan (Kid),heal,heal,435073 (100%),heal,heal
5,11751,Gohan (Kid),5,124894,310179 (71%),1793105,20829769 (48%)
5,12009,Gohan (Teen),0,0,310179 (71%),1565157,19264612 (44%)
5,11879,Super Saiyan God SS Vegeta,3,174254,135925 (31%),75216,19189396 (44%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,135925 (31%),161504,19027892 (44%)
6,12031,Goku (Ultra Instinct),2,0,135925 (31%),3250937,15776955 (36%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,32404,103521 (24%),7195911,8581044 (20%)
7,11751,Gohan (Kid),4,63093,40428 (9%),800067,7780977 (18%)
7,12009,Gohan (Teen),1,19,40409 (9%),1720655,6060322 (14%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,7963,32446 (7%),4981164,1079158 (2%)
8,11971,Caulifla,3,0,32446 (7%),179014,900144 (2%)
8,12031,Goku (Ultra Instinct),0,0,32446 (7%),1278597,0 (0%)
8,11879,Super Saiyan God SS Vegeta,0,0,32446 (7%),0,0 (0%)
Result:,Boss defeated

Average damage received per turn:,50328.38
Average damage dealt per turn:,5484806.62
