RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,435742 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,318301 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,299970 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,299970 (65%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,299750 (65%),115330,38969011 (90%)
2,12009,Gohan (Teen),1,122,299628 (65%),1342468,37626543 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,299628 (65%),767107,36859436 (85%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86,299542 (65%),1935969,34923467 (80%)
3,12114,Super Saiyan 2 Gohan (Youth),3,174,299368 (65%),1380620,33542847 (77%)
4,11971,Caulifla,7,0,299368 (65%),22956,33519891 (77%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,299368 (65%),121513,33398378 (77%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,65,299303 (65%),3149741,30248637 (70%)
5,11751,Gohan (Kid),1,0,299303 (65%),803052,29445585 (68%)
5,12009,Gohan (Teen),2,170,299133 (65%),1580889,27864696 (64%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),5,225043,74090 (16%),2971617,24893079 (57%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,74090 (16%),23188,24869891 (57%)
6,12034,Super Saiyan God SS Evolved Vegeta,1,322890,0 (0%),124997,24744894 (57%)
6,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,24744894 (57%)
6,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,322347 (70%),revive,revive
7,11751,Gohan (Kid),4,60671,261677 (57%),797864,23947030 (55%)
7,12009,Gohan (Teen),3,128,261549 (57%),1701373,22245657 (51%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,9558,251991 (55%),3252954,18992703 (44%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
8,11971,Caulifla,7,0,251991 (55%),23292,18969411 (44%)
8,12034,Super Saiyan God SS Evolved Vegeta,0,0,251991 (55%),943158,18026253 (41%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,5797,246194 (53%),6885214,11141039 (26%)
9,11751,Gohan (Kid),6,0,246194 (53%),788124,10352915 (24%)
9,12009,Gohan (Teen),0,0,246194 (53%),1829075,8523840 (20%)
9,12114,Super Saiyan 2 Gohan (Youth),2,196878,49316 (11%),2176040,6347800 (15%)
10,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
10,11971,Caulifla,3,0,49316 (11%),28165,6319635 (15%)
10,12034,Super Saiyan God SS Evolved Vegeta,3,309,49007 (11%),945030,5374605 (12%)
10,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,49007 (11%),6637599,0 (0%)
Result:,Boss defeated

Average damage received per turn:,41148.90
Average damage dealt per turn:,4476299.40
