RNG Seed: 94
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,3,0,460496 (100%),167176,43332824 (100%)
1,12034,Super Saiyan God SS Evolved Vegeta,3,202,460294 (100%),1432125,41900699 (96%)
1,11751,Gohan (Kid),2,49509,410785 (89%),103637,41797062 (96%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),5,116767,294018 (64%),2321398,39475664 (91%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,147,293871 (64%),850287,38625377 (89%)
2,12114,Super Saiyan 2 Gohan (Youth),1,68,293803 (64%),3489798,35135579 (81%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,3,0,293803 (64%),26760,35108819 (81%)
3,12034,Super Saiyan God SS Evolved Vegeta,5,35156,258647 (56%),124065,34984754 (80%)
3,12009,Gohan (Teen),0,0,258647 (56%),1352120,33632634 (77%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11751,Gohan (Kid),2,0,258647 (56%),766129,32866505 (76%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,100,258547 (56%),6178869,26687636 (61%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,97053,161494 (35%),3407462,23280174 (54%)
5,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11971,Caulifla,4,0,161494 (35%),187831,23092343 (53%)
5,12034,Super Saiyan God SS Evolved Vegeta,2,85,161409 (35%),997242,22095101 (51%)
5,12114,Super Saiyan 2 Gohan (Youth),2,64779,96630 (21%),1893087,20202014 (46%)
6,11751,Gohan (Kid),heal,heal,460496 (100%),heal,heal
6,11751,Gohan (Kid),4,62577,397919 (86%),1837364,18364650 (42%)
6,12009,Gohan (Teen),1,56,397863 (86%),1564597,16800053 (39%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,184148,213715 (46%),2170985,14629068 (34%)
7,11971,Caulifla,6,0,213715 (46%),29763,14599305 (34%)
7,12034,Super Saiyan God SS Evolved Vegeta,2,137,213578 (46%),1457997,13141308 (30%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,213578 (46%),3660124,9481184 (22%)
8,11751,Gohan (Kid),3,0,213578 (46%),137793,9343391 (21%)
8,12009,Gohan (Teen),1,15809,197769 (43%),1733438,7609953 (17%)
8,12114,Super Saiyan 2 Gohan (Youth),4,193730,4039 (1%),134848,7475105 (17%)
9,11971,Caulifla,4,0,4039 (1%),204442,7270663 (17%)
9,12034,Super Saiyan God SS Evolved Vegeta,2,345376,0 (0%),1034454,6236209 (14%)
9,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),0,6236209 (14%)
9,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,322347 (70%),revive,revive
10,11751,Gohan (Kid),5,125265,197083 (43%),794913,5441296 (13%)
10,12009,Gohan (Teen),1,41,197042 (43%),1841681,3599615 (8%)
10,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,135,196907 (43%),2391877,1207738 (3%)
11,11971,Caulifla,3,0,196907 (43%),29807,1177931 (3%)
11,12034,Super Saiyan God SS Evolved Vegeta,4,315,196592 (43%),1095805,82126 (0%)
11,12114,Super Saiyan 2 Gohan (Youth),0,0,196592 (43%),1146734,0 (0%)
Result:,Boss defeated

Average damage received per turn:,23991.27
Average damage dealt per turn:,4051328.00
