RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,435742 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,318301 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,299970 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,299970 (65%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,299750 (65%),275694,38808647 (89%)
2,12009,Gohan (Teen),1,122,299628 (65%),1342468,37466179 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,299628 (65%),767107,36699072 (84%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86,299542 (65%),1935969,34763103 (80%)
3,12114,Super Saiyan 2 Gohan (Youth),3,174,299368 (65%),1380620,33382483 (77%)
4,11971,Caulifla,7,0,299368 (65%),22956,33359527 (77%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,299368 (65%),281506,33078021 (76%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,65,299303 (65%),3149741,29928280 (69%)
5,11751,Gohan (Kid),1,0,299303 (65%),803052,29125228 (67%)
5,12009,Gohan (Teen),2,170,299133 (65%),1580889,27544339 (63%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),5,225043,74090 (16%),2971617,24572722 (56%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,74090 (16%),23188,24549534 (56%)
6,12034,Super Saiyan God SS Evolved Vegeta,1,93610,0 (0%),289344,24260190 (56%)
6,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,24260190 (56%)
6,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,322347 (70%),revive,revive
7,11751,Gohan (Kid),4,60671,261677 (57%),797864,23462326 (54%)
7,12009,Gohan (Teen),3,128,261549 (57%),1701373,21760953 (50%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,9558,251991 (55%),3252954,18507999 (43%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
8,11971,Caulifla,7,0,251991 (55%),23292,18484707 (42%)
8,12034,Super Saiyan God SS Evolved Vegeta,0,0,251991 (55%),2138308,16346399 (38%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,5797,246194 (53%),6885214,9461185 (22%)
9,11751,Gohan (Kid),6,0,246194 (53%),788124,8673061 (20%)
9,12009,Gohan (Teen),0,0,246194 (53%),1829075,6843986 (16%)
9,12114,Super Saiyan 2 Gohan (Youth),2,196878,49316 (11%),2176040,4667946 (11%)
10,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
10,11971,Caulifla,0,0,49316 (11%),0,4667946 (11%)
10,12034,Super Saiyan God SS Evolved Vegeta,0,0,49316 (11%),1846594,2821352 (6%)
10,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,49316 (11%),3280004,0 (0%)
Result:,Boss defeated

Average damage received per turn:,41118.00
Average damage dealt per turn:,4395865.20
