RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12034,Super Saiyan God SS Evolved Vegeta,3,229,483512 (100%),874229,42625771 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117781,365731 (76%),2638026,39987745 (92%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,17631,348100 (72%),2394761,37592984 (86%)
2,11971,Caulifla,5,0,348100 (72%),144575,37448409 (86%)
2,12009,Gohan (Teen),3,315,347785 (72%),1418474,36029935 (83%)
2,12114,Super Saiyan 2 Gohan (Youth),0,0,347785 (72%),1723744,34306191 (79%)
3,Item,used,for,40,percent,damage,reduction
3,12034,Super Saiyan God SS Evolved Vegeta,5,323,347462 (72%),1316346,32989845 (76%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,100978,246484 (51%),2882681,30107164 (69%)
3,11354,Goku (Ultra Instinct -Sign-),2,91601,154883 (32%),94909,30012255 (69%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,4,0,154883 (32%),23779,29988476 (69%)
4,12009,Gohan (Teen),0,0,154883 (32%),1558179,28430297 (65%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),4,81705,73178 (15%),4676642,23753655 (55%)
5,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,12034,Super Saiyan God SS Evolved Vegeta,7,82311,0 (0%),1385017,22368638 (51%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,0 (0%),0,22368638 (51%)
5,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,22368638 (51%)
5,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,338619 (70%),revive,revive
6,11971,Caulifla,3,0,338619 (70%),167043,22201595 (51%)
6,12009,Gohan (Teen),3,104192,234427 (48%),189232,22012363 (51%)
6,11354,Goku (Ultra Instinct -Sign-),2,306616,0 (0%),96819,21915544 (50%)
Result:,Team defeated

Average damage received per turn:,92655.00
Average damage dealt per turn:,3597409.33
