RNG Seed: 121
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),5,109872,373869 (77%),251781,43248219 (99%)
1,12114,Super Saiyan 2 Gohan (Youth),2,181,373688 (77%),3121498,40126721 (92%)
1,11354,Goku (Ultra Instinct -Sign-),1,5988,367700 (76%),805275,39321446 (90%)
2,11971,Caulifla,6,0,367700 (76%),153472,39167974 (90%)
2,12009,Gohan (Teen),0,0,367700 (76%),1436784,37731190 (87%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,104177,263523 (54%),305803,37425387 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
3,12034,Super Saiyan God SS Evolved Vegeta,3,188,263335 (54%),105291,37320096 (86%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,292,263043 (54%),2063923,35256173 (81%)
3,12114,Super Saiyan 2 Gohan (Youth),2,83,262960 (54%),5249309,30006864 (69%)
4,11971,Caulifla,5,0,262960 (54%),26135,29980729 (69%)
4,12009,Gohan (Teen),1,41,262919 (54%),1573226,28407503 (65%)
4,11354,Goku (Ultra Instinct -Sign-),2,173,262746 (54%),970492,27437011 (63%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,12034,Super Saiyan God SS Evolved Vegeta,4,45746,217000 (45%),2252628,25184383 (58%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,17682,199318 (41%),6356547,18827836 (43%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,234456,0 (0%),6919322,11908514 (27%)
Result:,Team defeated

Average damage received per turn:,103775.80
Average damage dealt per turn:,6318297.20
