RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,434722 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,317281 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,298950 (65%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,298950 (65%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,298730 (65%),119848,38964493 (90%)
2,12114,Super Saiyan 2 Gohan (Youth),1,122,298608 (65%),3322867,35641626 (82%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,298608 (65%),777475,34864151 (80%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86,298522 (65%),1695118,33169033 (76%)
3,11354,Goku (Ultra Instinct -Sign-),3,140863,157659 (34%),96267,33072766 (76%)
4,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,6,0,157659 (34%),186892,32885874 (76%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,157659 (34%),1480749,31405125 (72%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,196,157463 (34%),7105207,24299918 (56%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),6,63461,94002 (20%),765710,23534208 (54%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,94002 (20%),3792533,19741675 (45%)
5,12114,Super Saiyan 2 Gohan (Youth),2,52815,41187 (9%),1486615,18255060 (42%)
6,11971,Caulifla,7,0,41187 (9%),200629,18054431 (42%)
6,12034,Super Saiyan God SS Evolved Vegeta,1,329682,0 (0%),1543243,16511188 (38%)
6,41355,Goku (Ultra Instinct) int,0,0,0 (0%),0,16511188 (38%)
6,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,321633 (70%),revive,revive
7,11751,Gohan (Kid),5,0,321634 (70%),781755,15729433 (36%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,13348,308286 (67%),3807921,11921512 (27%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,37436,270850 (59%),5054762,6866750 (16%)
8,11971,Caulifla,4,0,270850 (59%),28772,6837978 (16%)
8,12034,Super Saiyan God SS Evolved Vegeta,3,173,270677 (59%),1599894,5238084 (12%)
8,12114,Super Saiyan 2 Gohan (Youth),1,22121,248556 (54%),2556258,2681826 (6%)
9,11751,Gohan (Kid),5,303313,0 (0%),772714,1909112 (4%)
9,41355,Goku (Ultra Instinct) int,0,0,0 (0%),0,1909112 (4%)
9,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,0 (0%),0,1909112 (4%)
Result:,Team defeated

Average damage received per turn:,57137.00
Average damage dealt per turn:,4621209.78
