RNG Seed: 140
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),7,30705,428771 (93%),1447560,42052440 (97%)
1,12114,Super Saiyan 2 Gohan (Youth),1,9801,418970 (91%),136673,41915767 (96%)
1,11354,Goku (Ultra Instinct -Sign-),0,0,418970 (91%),63926,41851841 (96%)
2,11971,Caulifla,0,0,418970 (91%),7758,41844083 (96%)
2,12034,Super Saiyan God SS Evolved Vegeta,5,302,418668 (91%),1427409,40416674 (93%)
2,11751,Gohan (Kid),3,48612,370056 (81%),95751,40320923 (93%)
3,Item,used,for,40,percent,damage,reduction
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),4,317,369739 (80%),2798484,37522439 (86%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,177,369562 (80%),1485470,36036969 (83%)
3,12114,Super Saiyan 2 Gohan (Youth),1,101362,268200 (58%),806227,35230742 (81%)
4,11971,Caulifla,4,0,268200 (58%),171897,35058845 (81%)
4,12034,Super Saiyan God SS Evolved Vegeta,2,216,267984 (58%),1463745,33595100 (77%)
4,11354,Goku (Ultra Instinct -Sign-),2,142,267842 (58%),1109412,32485688 (75%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),2,303868,0 (0%),0,32485688 (75%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),2711330,29774358 (68%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,0 (0%),2294674,27479684 (63%)
Result:,Team defeated

Average damage received per turn:,99100.40
Average damage dealt per turn:,3204063.20
