RNG Seed: 86
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12034,Super Saiyan God SS Evolved Vegeta,5,416,448693 (100%),86186,43413814 (100%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,119474,329219 (73%),3980976,39432838 (91%)
1,11354,Goku (Ultra Instinct -Sign-),1,45049,284170 (63%),75064,39357774 (90%)
2,11751,Gohan (Kid),4,45635,238535 (53%),788290,38569484 (89%)
2,12009,Gohan (Teen),1,107,238428 (53%),1424454,37145030 (85%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,215,238213 (53%),1316705,35828325 (82%)
3,Item,used,for,40,percent,damage,reduction
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
3,11971,Caulifla,3,0,238213 (53%),163119,35665206 (82%)
3,12034,Super Saiyan God SS Evolved Vegeta,2,36156,202057 (45%),3400601,32264605 (74%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,221,201836 (45%),5711250,26553355 (61%)
4,11751,Gohan (Kid),4,24854,176982 (39%),757726,25795629 (59%)
4,41355,Goku (Ultra Instinct) int,0,0,176982 (39%),1093041,24702588 (57%)
4,12009,Gohan (Teen),4,10456,166526 (37%),1482873,23219715 (53%)
5,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11971,Caulifla,4,0,166526 (37%),185852,23033863 (53%)
5,12034,Super Saiyan God SS Evolved Vegeta,2,154,166372 (37%),936463,22097400 (51%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,57273,109099 (24%),2282871,19814529 (46%)
6,11751,Gohan (Kid),heal,heal,449109 (100%),heal,heal
6,11751,Gohan (Kid),2,0,449109 (100%),1746499,18068030 (42%)
6,41355,Goku (Ultra Instinct) int,4,0,449109 (100%),110639,17957391 (41%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,37747,411362 (92%),3465371,14492020 (33%)
7,11971,Caulifla,2,0,411362 (92%),195910,14296110 (33%)
7,12034,Super Saiyan God SS Evolved Vegeta,2,335392,75970 (17%),1330831,12965279 (30%)
7,12009,Gohan (Teen),4,399,75571 (17%),1636548,11328731 (26%)
8,11751,Gohan (Kid),2,126783,0 (0%),0,11328731 (26%)
8,41355,Goku (Ultra Instinct) int,0,0,0 (0%),0,11328731 (26%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,0 (0%),0,11328731 (26%)
Result:,Team defeated

Average damage received per turn:,62540.12
Average damage dealt per turn:,4021408.62
