RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,12034,Super Saiyan God SS Evolved Vegeta,3,229,481158 (100%),874229,42625771 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117781,363377 (75%),2638026,39987745 (92%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,17631,345746 (72%),2394761,37592984 (86%)
2,11971,Caulifla,5,0,345746 (72%),144575,37448409 (86%)
2,12009,Gohan (Teen),3,315,345431 (72%),1418474,36029935 (83%)
2,12114,Super Saiyan 2 Gohan (Youth),0,0,345431 (72%),1723744,34306191 (79%)
3,Item,used,for,40,percent,damage,reduction
3,12034,Super Saiyan God SS Evolved Vegeta,5,323,345108 (72%),1218648,33087543 (76%)
3,11029,Masked Saiyan,1,88004,257104 (53%),1803159,31284384 (72%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,71,257033 (53%),2857431,28426953 (65%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,4,0,257033 (53%),24783,28402170 (65%)
4,12009,Gohan (Teen),1,28,257005 (53%),1559215,26842955 (62%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,82210,174795 (36%),6179773,20663182 (48%)
5,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,12034,Super Saiyan God SS Evolved Vegeta,8,18939,155856 (32%),1266476,19396706 (45%)
5,11029,Masked Saiyan,0,0,155856 (32%),2002302,17394404 (40%)
5,12114,Super Saiyan 2 Gohan (Youth),0,0,155856 (32%),4780923,12613481 (29%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,5,0,155856 (32%),166883,12446598 (29%)
6,12009,Gohan (Teen),1,71,155785 (32%),1708948,10737650 (25%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,703,155082 (32%),6686003,4051647 (9%)
7,12034,Super Saiyan God SS Evolved Vegeta,4,8379,146703 (30%),1518376,2533271 (6%)
7,11029,Masked Saiyan,3,152931,0 (0%),1963227,570044 (1%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),0,570044 (1%)
7,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,336971 (70%),revive,revive
8,11971,Caulifla,1,0,336971 (70%),178788,391256 (1%)
8,12009,Gohan (Teen),0,0,336971 (70%),1871928,0 (0%)
8,12114,Super Saiyan 2 Gohan (Youth),0,0,336971 (70%),0,0 (0%)
Result:,Boss defeated

Average damage received per turn:,18052.00
Average damage dealt per turn:,5622584.00
