RNG Seed: 90
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,2,0,481387 (100%),6749,43493251 (100%)
1,11029,Masked Saiyan,4,84999,396388 (82%),2010636,41482615 (95%)
1,12114,Super Saiyan 2 Gohan (Youth),2,34316,362072 (75%),137594,41345021 (95%)
2,12034,Super Saiyan God SS Evolved Vegeta,2,97,361975 (75%),1554338,39790683 (91%)
2,12009,Gohan (Teen),3,126,361849 (75%),1349632,38441051 (88%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,244,361605 (75%),2039635,36401416 (84%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,5,0,361605 (75%),14873,36386543 (84%)
3,11029,Masked Saiyan,1,69,361536 (75%),206583,36179960 (83%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,11831,349705 (73%),1369326,34810634 (80%)
4,12034,Super Saiyan God SS Evolved Vegeta,3,246,349459 (73%),2063996,32746638 (75%)
4,12009,Gohan (Teen),4,251,349208 (73%),1492356,31254282 (72%)
4,12114,Super Saiyan 2 Gohan (Youth),1,60,349148 (73%),2377384,28876898 (66%)
5,11971,Caulifla,3,0,349148 (73%),167094,28709804 (66%)
5,11029,Masked Saiyan,2,57561,291587 (61%),216200,28493604 (66%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,105502,186085 (39%),4044130,24449474 (56%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,12034,Super Saiyan God SS Evolved Vegeta,4,52069,134016 (28%),2704889,21744585 (50%)
6,12009,Gohan (Teen),3,85589,48427 (10%),178026,21566559 (50%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,13821,34606 (7%),4837812,16728747 (38%)
7,11971,Caulifla,5,0,34606 (7%),180442,16548305 (38%)
7,11029,Masked Saiyan,2,171459,0 (0%),2073171,14475134 (33%)
7,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,14475134 (33%)
Result:,Team defeated

Average damage received per turn:,88320.00
Average damage dealt per turn:,4146409.43
