RNG Seed: 85
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),5,193541,263581 (58%),787541,42712459 (98%)
1,11029,Masked Saiyan,2,256,263325 (58%),1956532,40755927 (94%)
1,12114,Super Saiyan 2 Gohan (Youth),1,22,263303 (58%),2731083,38024844 (87%)
2,11971,Caulifla,5,0,263303 (58%),148518,37876326 (87%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,5507,257796 (56%),307694,37568632 (86%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,11928,245868 (54%),1416997,36151635 (83%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),3,0,245868 (54%),770366,35381269 (81%)
3,12034,Super Saiyan God SS Evolved Vegeta,2,138,245730 (54%),833150,34548119 (79%)
3,11029,Masked Saiyan,3,155,245575 (54%),198554,34349565 (79%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,7,0,245575 (54%),162877,34186688 (79%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,110,245465 (54%),1976088,32210600 (74%)
4,12114,Super Saiyan 2 Gohan (Youth),0,0,245465 (54%),2028468,30182132 (69%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),4,63123,182342 (40%),780477,29401655 (68%)
5,12034,Super Saiyan God SS Evolved Vegeta,1,10599,171743 (38%),2653104,26748551 (61%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,82821,88922 (19%),5415248,21333303 (49%)
6,11971,Caulifla,6,0,88922 (19%),192021,21141282 (49%)
6,11029,Masked Saiyan,1,169959,0 (0%),2018507,19122775 (44%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),0,19122775 (44%)
Result:,Team defeated

Average damage received per turn:,89693.17
Average damage dealt per turn:,4062870.83
