RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,422001 (94%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,304560 (68%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,286229 (64%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,286229 (64%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,286009 (64%),115330,38969011 (90%)
2,12009,Gohan (Teen),1,122,285887 (64%),1342468,37626543 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,285887 (64%),799610,36826933 (85%)
3,11029,Masked Saiyan,3,21256,264631 (59%),192116,36634817 (84%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,189,264442 (59%),1599864,35034953 (81%)
4,11971,Caulifla,6,0,264442 (59%),181180,34853773 (80%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,264442 (59%),644569,34209204 (79%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,159,264283 (59%),4227963,29981241 (69%)
5,11751,Gohan (Kid),4,123379,140904 (32%),803993,29177248 (67%)
5,12009,Gohan (Teen),1,72,140832 (32%),1557593,27619655 (63%)
5,11029,Masked Saiyan,3,85022,55810 (12%),1795638,25824017 (59%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,4,0,55810 (12%),201955,25622062 (59%)
6,12034,Super Saiyan God SS Evolved Vegeta,2,101,55709 (12%),3509208,22112854 (51%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,195607,0 (0%),8836855,13275999 (31%)
6,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,312728 (70%),revive,revive
7,11751,Gohan (Kid),5,0,312729 (70%),792197,12483802 (29%)
7,12009,Gohan (Teen),1,68,312661 (70%),1683540,10800262 (25%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,16226,296435 (66%),4754715,6045547 (14%)
8,11971,Caulifla,5,0,296435 (66%),26882,6018665 (14%)
8,12034,Super Saiyan God SS Evolved Vegeta,3,167,296268 (66%),1780314,4238351 (10%)
8,11029,Masked Saiyan,0,0,296268 (66%),201071,4037280 (9%)
9,11751,Gohan (Kid),5,246796,49472 (11%),137108,3900172 (9%)
9,12009,Gohan (Teen),2,204,49268 (11%),1844968,2055204 (5%)
9,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,49268 (11%),2363717,0 (0%)
Result:,Boss defeated

Average damage received per turn:,44165.22
Average damage dealt per turn:,4867612.56
