RNG Seed: 47
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),1,23866,422889 (95%),745003,42754997 (98%)
1,12034,Super Saiyan God SS Evolved Vegeta,3,52561,370328 (83%),2361655,40393342 (93%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,24513,345815 (77%),266576,40126766 (92%)
2,11971,Caulifla,2,0,345815 (77%),144449,39982317 (92%)
2,12009,Gohan (Teen),5,503,345312 (77%),1404911,38577406 (89%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,76,345236 (77%),1256838,37320568 (86%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),4,0,345236 (77%),762419,36558149 (84%)
3,12034,Super Saiyan God SS Evolved Vegeta,1,102,345134 (77%),1530745,35027404 (81%)
3,11029,Masked Saiyan,3,20831,324303 (73%),189634,34837770 (80%)
4,11971,Caulifla,3,0,324303 (73%),158463,34679307 (80%)
4,12009,Gohan (Teen),2,164,324139 (73%),1545895,33133412 (76%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,89600,234539 (52%),3530840,29602572 (68%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11751,Gohan (Kid),3,65126,169413 (38%),759516,28843056 (66%)
5,12034,Super Saiyan God SS Evolved Vegeta,3,32392,137021 (31%),2640614,26202442 (60%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),1,205357,0 (0%),4915961,21286481 (49%)
Result:,Team defeated

Average damage received per turn:,103018.20
Average damage dealt per turn:,4442703.80
