RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11879,Super Saiyan God SS Vegeta,3,254,475743 (100%),1239735,42260265 (97%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,118117,357626 (75%),1515271,40744994 (94%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18385,339241 (71%),2396011,38348983 (88%)
2,11971,Caulifla,4,0,339241 (71%),142296,38206687 (88%)
2,12009,Gohan (Teen),3,282,338959 (71%),1400200,36806487 (85%)
2,12114,Super Saiyan 2 Gohan (Youth),1,128,338831 (71%),967007,35839480 (82%)
3,Item,used,for,40,percent,damage,reduction
3,12034,Super Saiyan God SS Evolved Vegeta,4,247,338584 (71%),837090,35002390 (80%)
3,11879,Super Saiyan God SS Vegeta,1,117,338467 (71%),3030561,31971829 (73%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,216,338251 (71%),1999519,29972310 (69%)
4,11971,Caulifla,4,0,338251 (71%),19615,29952695 (69%)
4,12009,Gohan (Teen),0,0,338251 (71%),1561792,28390903 (65%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),4,91989,246262 (52%),3710649,24680254 (57%)
5,12034,Super Saiyan God SS Evolved Vegeta,6,18553,227709 (48%),2462292,22217962 (51%)
5,11879,Super Saiyan God SS Vegeta,0,0,227709 (48%),3021128,19196834 (44%)
5,12114,Super Saiyan 2 Gohan (Youth),2,68825,158884 (33%),1378999,17817835 (41%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,7,0,158884 (33%),166218,17651617 (41%)
6,12009,Gohan (Teen),1,11536,147348 (31%),1711665,15939952 (37%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,147348 (31%),7385188,8554764 (20%)
7,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,12034,Super Saiyan God SS Evolved Vegeta,4,13972,133376 (28%),935933,7618831 (18%)
7,11879,Super Saiyan God SS Vegeta,1,120,133256 (28%),1429179,6189652 (14%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,49917,83339 (18%),4670448,1519204 (3%)
8,11971,Caulifla,1,0,83339 (18%),175710,1343494 (3%)
8,12009,Gohan (Teen),0,0,83339 (18%),1824394,0 (0%)
8,12114,Super Saiyan 2 Gohan (Youth),0,0,83339 (18%),0,0 (0%)
Result:,Boss defeated

Average damage received per turn:,49082.25
Average damage dealt per turn:,5497612.50
