RNG Seed: 106
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,4,0,475997 (100%),167531,43332469 (100%)
1,12034,Super Saiyan God SS Evolved Vegeta,1,56,475941 (100%),1000102,42332367 (97%)
1,12114,Super Saiyan 2 Gohan (Youth),3,179,475762 (100%),1379444,40952923 (94%)
2,12009,Gohan (Teen),3,229,475533 (100%),1373539,39579384 (91%)
2,11879,Super Saiyan God SS Vegeta,3,147,475386 (100%),1345775,38233609 (88%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,117955,357431 (75%),2669172,35564437 (82%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,5,0,357431 (75%),23028,35541409 (82%)
3,12034,Super Saiyan God SS Evolved Vegeta,2,158,357273 (75%),120542,35420867 (81%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,6384,350889 (74%),295902,35124965 (81%)
4,12009,Gohan (Teen),2,94,350795 (74%),22206,35102759 (81%)
4,11879,Super Saiyan God SS Vegeta,3,234,350561 (74%),1594894,33507865 (77%)
4,12114,Super Saiyan 2 Gohan (Youth),3,227,350334 (74%),5590352,27917513 (64%)
5,11971,Caulifla,4,0,350334 (74%),28606,27888907 (64%)
5,12034,Super Saiyan God SS Evolved Vegeta,2,190,350144 (74%),2571566,25317341 (58%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,247978,102166 (21%),4251369,21065972 (48%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,12009,Gohan (Teen),3,165,102001 (21%),240454,20825518 (48%)
6,11879,Super Saiyan God SS Vegeta,2,93,101908 (21%),2139910,18685608 (43%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,86563,15345 (3%),5772828,12912780 (30%)
7,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
7,11971,Caulifla,6,0,15345 (3%),28775,12884005 (30%)
7,12034,Super Saiyan God SS Evolved Vegeta,1,19,15326 (3%),2695088,10188917 (23%)
7,12114,Super Saiyan 2 Gohan (Youth),1,34760,0 (0%),1385921,8802996 (20%)
7,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,333198 (70%),revive,revive
8,12009,Gohan (Teen),4,237,332961 (70%),259059,8543937 (20%)
8,11879,Super Saiyan God SS Vegeta,2,182,332779 (70%),1130301,7413636 (17%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,46573,286206 (60%),3320035,4093601 (9%)
9,11971,Caulifla,2,0,286206 (60%),29166,4064435 (9%)
9,12034,Super Saiyan God SS Evolved Vegeta,2,954,285252 (60%),1972002,2092433 (5%)
9,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),0,0,285252 (60%),2701644,0 (0%)
Result:,Boss defeated

Average damage received per turn:,21193.89
Average damage dealt per turn:,4901023.44
