RNG Seed: 43
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11751,Gohan (Kid),3,24754,426978 (95%),751276,42748724 (98%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,117441,309537 (69%),1362543,41386181 (95%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),3,18331,291206 (64%),2136684,39249497 (90%)
2,11971,Caulifla,4,0,291206 (64%),165156,39084341 (90%)
2,12034,Super Saiyan God SS Evolved Vegeta,3,220,290986 (64%),119848,38964493 (90%)
2,12114,Super Saiyan 2 Gohan (Youth),1,122,290864 (64%),3322867,35641626 (82%)
3,Item,used,for,40,percent,damage,reduction
3,11751,Gohan (Kid),2,0,290864 (64%),777475,34864151 (80%)
3,11879,Super Saiyan God SS Vegeta,3,84745,206119 (46%),99128,34765023 (80%)
3,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),3,189,205930 (46%),1823825,32941198 (76%)
4,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
4,11971,Caulifla,6,0,205930 (46%),186892,32754306 (75%)
4,12034,Super Saiyan God SS Evolved Vegeta,0,0,205930 (46%),1480749,31273557 (72%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,196,205734 (46%),7105207,24168350 (56%)
5,11751,Gohan (Kid),6,63461,142273 (31%),765710,23402640 (54%)
5,11879,Super Saiyan God SS Vegeta,0,0,142273 (31%),2397324,21005316 (48%)
5,12114,Super Saiyan 2 Gohan (Youth),2,68368,73905 (16%),1380827,19624489 (45%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11971,Caulifla,5,0,73905 (16%),29110,19595379 (45%)
6,12034,Super Saiyan God SS Evolved Vegeta,2,901,73004 (16%),2393988,17201391 (40%)
6,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),1,17197,55807 (12%),8901964,8299427 (19%)
7,11751,Gohan (Kid),heal,heal,451732 (100%),heal,heal
7,11751,Gohan (Kid),4,0,451732 (100%),1760344,6539083 (15%)
7,11879,Super Saiyan God SS Vegeta,2,131138,320594 (71%),81701,6457382 (15%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,218079,102515 (23%),3660282,2797100 (6%)
8,11971,Caulifla,1,0,102515 (23%),202656,2594444 (6%)
8,12034,Super Saiyan God SS Evolved Vegeta,0,0,102515 (23%),2883377,0 (0%)
8,12114,Super Saiyan 2 Gohan (Youth),0,0,102515 (23%),0,0 (0%)
Result:,Boss defeated

Average damage received per turn:,43652.12
Average damage dealt per turn:,5473616.62
