RNG Seed: 75
Turn,Unit ID,Unit Name,Hits Taken,Damage Received,Team HP,Damage Dealt,Boss HP
1,Item,used,for,40,percent,damage,reduction
1,11971,Caulifla,2,0,451732 (100%),6746,43493254 (100%)
1,11879,Super Saiyan God SS Vegeta,2,26581,425151 (94%),2438543,41054711 (94%)
1,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),4,23211,401940 (89%),2644292,38410419 (88%)
2,11751,Gohan (Kid),4,72331,329609 (73%),745546,37664873 (87%)
2,12034,Super Saiyan God SS Evolved Vegeta,2,142,329467 (73%),2352693,35312180 (81%)
2,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,11975,317492 (70%),2083015,33229165 (76%)
3,Item,used,for,40,percent,damage,reduction
3,11971,Caulifla,4,0,317492 (70%),156794,33072371 (76%)
3,11879,Super Saiyan God SS Vegeta,1,36,317456 (70%),1516834,31555537 (73%)
3,12114,Super Saiyan 2 Gohan (Youth),3,204,317252 (70%),2064386,29491151 (68%)
4,11751,Gohan (Kid),3,24643,292609 (65%),130562,29360589 (67%)
4,12034,Super Saiyan God SS Evolved Vegeta,3,52035,240574 (53%),1730602,27629987 (64%)
4,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,102,240472 (53%),4577872,23052115 (53%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
5,11971,Caulifla,6,0,240472 (53%),25704,23026411 (53%)
5,11879,Super Saiyan God SS Vegeta,0,0,240472 (53%),1298766,21727645 (50%)
5,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),2,58087,182385 (40%),4053504,17674141 (41%)
6,12034,Super Saiyan God SS Evolved Vegeta,active skill,active skill,active skill,active skill,active skill,ACTIVE SKILL USED
6,11751,Gohan (Kid),5,192219,0 (0%),759867,16914274 (39%)
6,12034,Super Saiyan God SS Evolved Vegeta,0,0,0 (0%),0,16914274 (39%)
6,12114,Super Saiyan 2 Gohan (Youth),0,0,0 (0%),0,16914274 (39%)
6,12031,Super Saiyan God SS Evolved Vegeta,revive,revive,316212 (70%),revive,revive
7,11971,Caulifla,5,0,316213 (70%),25707,16888567 (39%)
7,11879,Super Saiyan God SS Vegeta,1,96,316117 (70%),3514382,13374185 (31%)
7,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid),2,46376,269741 (60%),3384677,9989508 (23%)
8,11751,Gohan (Kid),3,241411,28330 (6%),131399,9858109 (23%)
8,12034,Super Saiyan God SS Evolved Vegeta,3,37069,0 (0%),1634007,8224102 (19%)
8,11681,Super Saiyan Gohan (Teen) & Super Saiyan Goten (Kid)(Friend),0,0,0 (0%),0,8224102 (19%)
Result:,Team defeated

Average damage received per turn:,57558.88
Average damage dealt per turn:,4409487.25
